"ID_PER","CVE_ENT","NOM_ENT","NOM_INT","private"
859.8645,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
2085.2437,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
822.6051,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
1419.6249,15,"Estado de México","CEFERESO 1 ALTIPLANO",0
798.8965,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
600.7828,10,"Durango","CEFERESO 14 CPS DURANGO",1
1841.3697,26,"Sonora","CEFERESO 11 CPS SONORA",1
369.0654,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
1247.7594,10,"Durango","CEFERESO 14 CPS DURANGO",1
1148.9187,15,"Estado de México","CEFERESO 1 ALTIPLANO",0
2712.3889,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
949.2715,18,"Nayarit","CEFERESO 4 NOROESTE",0
2996.3886,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
2925.5612,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
2271.9655,26,"Sonora","CEFERESO 11 CPS SONORA",1
1874.0355,26,"Sonora","CEFERESO 11 CPS SONORA",1
304.0505,18,"Nayarit","CEFERESO 4 NOROESTE",0
1643.8281,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
1462.2775,25,"Sinaloa","CEFERESO NO 8 NOR-PONIENTE",0
3167.2794,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
660.0799,15,"Estado de México","CEFERESO 1 ALTIPLANO",0
2857.8915,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
2779.3812,25,"Sinaloa","CEFERESO NO 8 NOR-PONIENTE",0
1493.4286,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
2077.5479,26,"Sonora","CEFERESO 11 CPS SONORA",1
1811.7124,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
2056.494,10,"Durango","CEFERESO 14 CPS DURANGO",1
1035.7551,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
304.9685,10,"Durango","CEFERESO 14 CPS DURANGO",1
1339.6449,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
2075.9517,15,"Estado de México","CEFERESO 1 ALTIPLANO",0
3132.01,26,"Sonora","CEFERESO 11 CPS SONORA",1
1416.4995,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
2835.8711,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
1673.6636,15,"Estado de México","CEFERESO 1 ALTIPLANO",0
511.8894,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
1353.1392,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
2506.4383,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
2220.5413,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
1081.9489,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
1392.6008,10,"Durango","CEFERESO 14 CPS DURANGO",1
2563.1426,25,"Sinaloa","CEFERESO NO 8 NOR-PONIENTE",0
1794.0139,18,"Nayarit","CEFERESO 4 NOROESTE",0
1407.9719,26,"Sonora","CEFERESO 11 CPS SONORA",1
2567.4947,18,"Nayarit","CEFERESO 4 NOROESTE",0
770.8174,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
966.8935,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
1528.6248,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
2019.8777,26,"Sonora","CEFERESO 11 CPS SONORA",1
1283.6432,26,"Sonora","CEFERESO 11 CPS SONORA",1
2197.0028,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
3111.8997,15,"Estado de México","CEFERESO 1 ALTIPLANO",0
682.7155,16,"Michoacán de Ocampo","CEFERESO 17 CPS MICHOACAN",1
1610.8319,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
1055.77,15,"Estado de México","CEFERESO 1 ALTIPLANO",0
1111.5193,10,"Durango","CEFERESO 14 CPS DURANGO",1
2830.9821,10,"Durango","CEFERESO 14 CPS DURANGO",1
2706.2163,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
1671.6873,18,"Nayarit","CEFERESO 4 NOROESTE",0
2763.2946,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
1415.7132,18,"Nayarit","CEFERESO 4 NOROESTE",0
2021.6407,18,"Nayarit","CEFERESO 4 NOROESTE",0
2328.0508,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
507.6938,10,"Durango","CEFERESO 14 CPS DURANGO",1
1632.5028,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
882.2502,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
1795.9093,18,"Nayarit","CEFERESO 4 NOROESTE",0
3130.4809,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
2189.4297,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
1138.2661,18,"Nayarit","CEFERESO 4 NOROESTE",0
1021.809,18,"Nayarit","CEFERESO 4 NOROESTE",0
1997.7121,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
2965.2563,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
1802.9899,10,"Durango","CEFERESO 14 CPS DURANGO",1
1404.786,18,"Nayarit","CEFERESO 4 NOROESTE",0
893.2002,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
2472.3563,10,"Durango","CEFERESO 7 NOR-NOROESTE",0
1749.9924,18,"Nayarit","CEFERESO 4 NOROESTE",0
2178.4059,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
1043.3851,26,"Sonora","CEFERESO 11 CPS SONORA",1
1951.3276,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
2290.753,18,"Nayarit","CEFERESO 4 NOROESTE",0
1318.6494,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
1586.7764,18,"Nayarit","CEFERESO 4 NOROESTE",0
2548.707,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
2611.4374,18,"Nayarit","CEFERESO 4 NOROESTE",0
1663.4643,26,"Sonora","CEFERESO 11 CPS SONORA",1
386.3414,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
2685.8778,25,"Sinaloa","CEFERESO NO 8 NOR-PONIENTE",0
1774.8042,25,"Sinaloa","CEFERESO NO 8 NOR-PONIENTE",0
3044.5516,18,"Nayarit","CEFERESO 4 NOROESTE",0
794.2161,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
2253.9368,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
892.0634,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
897.0281,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
1593.1797,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
1484.5318,26,"Sonora","CEFERESO 11 CPS SONORA",1
1386.5589,18,"Nayarit","CEFERESO 4 NOROESTE",0
